product_name,energy_100g,sugars_100g,fat_100g,saturated_fat_100g,proteins_100g,salt_100g,sodium_100g,fiber_100g,carbohydrates_100g,trans_fat_100g,cholesterol_100g,vitamin_a_100g,vitamin_c_100g,calcium_100g,iron_100g,potassium_100g,nova_group,additives_n,ingredients_from_palm_oil_n,nutrition_grade
Hachis parmentier les classiques du chef,586.2,2.9,6.6,3.8,6.6,0.67,0.268,1.1,13.0,,,,,,,,3.0,0.0,0.0,c
Original Bagels,1116.3,5.1,1.8,0.3,9.2,0.6,0.24,3.5,50.9,,,,,,,,4.0,2.0,0.0,b
Tomato & Basil,152.285714285714,3.67857142857143,1.21428571428571,0.178571428571429,1.64285714285714,0.421428571428571,0.168571428571429,0.821428571428571,4.28571428571429,,,,,,,,3.0,0.0,0.0,b
Covent garden soup,224.8,1.0,2.8,0.4,1.7,0.5125,0.205,0.7,5.1,,,,,,,,3.0,0.0,0.0,b
Yogur bebible fresa 0%,140.3,4.1,0.3,0.2,3.3,0.11,0.044,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,b
Sourdough Crumpets,721.818181818182,2.54545454545455,0.545454545454545,0.181818181818182,5.63636363636364,0.931818181818182,0.372727272727273,2.72727272727273,34.5454545454545,,,0.0,0.0,,0.0,,4.0,1.0,0.0,c
Broyés du poitou,2114.0,31.0,24.0,19.0,5.0,0.42,0.168,1.2,66.0,,,,,,,,3.0,0.0,0.0,e
Carrefour Classic' Fromage de Brebis,1081.0,0.7,22.0,15.0,15.0,2.2,0.88,0.5,0.7,,,,,,,,3.0,0.0,,d
Fouetté nature au sel de Guérande,993.0,3.6,22.0,16.0,6.9,1.0,0.4,0.0,3.6,,,,,,,,4.0,0.0,,d
طرتينو,1052.0,1.1,21.15,12.73,9.93,1.68,0.672,0.0,5.28,,,,,,,,4.0,3.0,0.0,d
Velouté 8 légumes du potager,136.0,1.5,1.4,0.9,0.8,0.62,0.248,1.6,3.5,,,,,,,,3.0,0.0,0.0,b
Granola chocolat,1772.2,11.0,16.0,3.0,11.0,0.02,0.008,9.4,54.0,,,,,,,,3.0,0.0,0.0,b
Kellog's Extra Choco & Nuts,2026.1,24.0,23.0,9.5,8.3,0.67,0.268,6.0,58.0,,,,,,,,4.0,0.0,0.0,e
rice crispies,1648.6,7.9,1.2,0.4,7.0,0.9825,0.393,2.9,86.0,,,,,,,,3.0,0.0,0.0,c
Crispy Minis Fruit & Nut,1581.0,18.0,3.9,0.7,11.0,0.17,0.068,9.8,69.0,,,,,,0.000215,,4.0,0.0,0.0,a
Poêlée méridionale,446.2,4.4,6.4,0.7,2.5,0.67,0.268,4.5,7.7,,,,,,,,4.0,0.0,0.0,a
Butternut squash & chilli immunity power soup,214.9,1.3,1.8,1.1,1.8,0.001075,0.00043,2.6,5.7,,,0.0,0.0,,0.0,,3.0,0.0,0.0,a
Taureau aile doypack basmati garam masala 220g,626.0,2.1,2.4,0.2,2.9,0.44,0.176,3.6,27.0,,,,,,,,4.0,1.0,,b
Mehl Weizenmehl Type 405,1432.7,0.4,1.1,0.1,11.0,0.01,0.004,4.0,69.0,,,,,,,,1.0,0.0,0.0,a
coco pops,1635.8,17.0,1.9,0.9,6.3,0.64,0.256,3.8,84.0,,,0.0,0.0,,0.008,,4.0,0.0,,c
Yaourt à la grecque nature,438.0,3.4,8.9,5.8,3.0,0.09,0.036,0.0,3.4,,,,,,,,1.0,0.0,0.0,c
Boter,1562.5,0.25,42.0,9.7,0.25,0.01,0.004,0.0,0.25,,,0.0008,,,,,4.0,2.0,,c
Pan proteinK,1183.5,2.4,16.8,2.2,21.4,1.28,0.512,11.8,6.1,,,0.0,0.0,,0.0,,4.0,1.0,,c
Street food saveur poulet tex mex,2139.3,1.3,33.0,2.8,5.9,1.3,0.52,4.5,46.0,,,,,,,,4.0,0.0,,d
Original Gut-Loving Prebiotic* Yoghurt,332.3,7.2,3.1,2.6,4.8,0.1875,0.075,1.7,7.2,,,,,,,,4.0,0.0,0.0,c
Onken Set Natural Yogurt,265.5,4.7,3.5,2.2,3.3,0.35,0.14,,4.7,,,,,0.12,,,1.0,0.0,0.0,c
Greek Style Yogurt Peach & Passion Fruit,554.0,9.9,8.3,5.7,3.9,0.1,0.04,0.1,10.6,,,0.0,0.0,,0.0,,4.0,2.0,0.0,c
"No Milk Hafer 3,5% Fett",221.6,1.2,3.5,0.3,0.8,0.15,0.06,1.1,4.1,,,,,0.12,,,4.0,3.0,0.0,c
Soja fermentée à la mangue,341.0,10.9,2.1,0.3,3.7,0.06,0.024,0.4,11.6,,,,,0.12,,,4.0,1.0,0.0,c
Noix de coco râpée,2648.1,7.4,65.0,57.0,6.9,0.0875,0.035,,7.4,,,,,,,,1.0,0.0,0.0,d
Kefir yogurt,309.1,5.7,3.3,1.5,4.7,,,,6.3,,,0.0,0.0,0.103,0.0,,4.0,0.0,,unknown
Peanut Butter Creamy,2641.0,5.6,54.0,7.1,24.0,0.1125,0.045,6.0,11.0,,,,,,,,3.0,0.0,0.0,a
P'tite céréales aux céréales complètes,1687.0,18.4,4.6,0.75,10.0,0.1,0.04,6.0,76.4,,,,,,,,4.0,2.0,,not-applicable
Special K Red Berries,1651.6,16.0,1.4,0.3,8.0,0.73,0.292,6.6,83.0,,,0.0,0.0,,0.015,,3.0,0.0,0.0,c
Yaourt grec pot 1kg,557.0,3.7,10.0,6.5,5.9,0.14,0.056,0.0,5.1,,,,,,,,1.0,0.0,,c
cacahuètes,2521.0,5.8,49.0,6.8,26.0,0.8,0.32,9.8,11.0,,,,,,,,3.0,0.0,,b
"CHOCOLATE FLAVOURED OAT, MAIZE AND BROWN RICE HOOPS SWEETENED WITH DATE SYRUP",1715.0,8.4,3.0,0.7,9.0,0.001125,0.00045,5.0,83.0,,,,,,,,3.0,0.0,,b
Bœuf Bolognaise Ravioli,1138.0,6.4,9.7,3.3,13.0,1.5,0.6,6.1,30.0,,,,,,,,4.0,0.0,,d
cream cheese,1485.96,3.53,35.3,21.2,7.05,0.97,0.388,0.0,3.53,0.0,0.03,0.0,0.0,,0.0,,4.0,1.0,0.0,d
Organic Unsweetened Almond Non-Dairy Beverage Vanilla,63.75,0.0,1.25,0.0,0.416666666666667,0.114583333333333,0.0458333333333333,0.416666666666667,0.416666666666667,0.0,0.0,6.25e-05,,0.00833333333333333,8.33333333333333e-05,0.0166666666666667,4.0,3.0,0.0,b
French Brie,1439.4,1.0,31.0,20.5,16.2,1.2775,0.511,0.0,1.0,,0.025,,,0.13,,,3.0,0.0,0.0,d
Sahnejoghurt Griechischer Art,503.0,3.2,10.0,6.6,4.6,0.1,0.04,0.0,3.2,,,,,0.15,,,1.0,0.0,0.0,c
Bifidus* nature,262.0,4.1,3.5,2.1,3.7,0.1,0.04,,4.1,,,,,0.13,,,4.0,0.0,0.0,b
Vanille arôme naturel,1679.9,49.0,13.0,5.8,3.3,0.44,0.176,2.6,66.0,,,,,,,,4.0,0.0,0.0,not-applicable
Nouilles Japonaises saveurs légumes et sauce soja,349.0,0.6,4.0,0.5,1.6,0.67,0.268,0.5,10.0,,,,,,,,4.0,2.0,0.0,unknown
Lentilles riz complet et soja sachet micro-ondable de 250g,519.0,1.3,3.9,0.58,8.4,0.76,0.304,5.6,11.0,,,,,,,,3.0,0.0,0.0,b
Riz cuisiné à l'italienne surgelé,429.5,2.5,2.6,0.3,1.9,0.53,0.212,1.5,17.0,,,,,,,,4.0,1.0,0.0,c
Lentilles cuisinées à la graisse d'oie,379.0,0.5,3.2,1.2,5.8,0.8,0.32,3.9,10.0,,,,,,,,4.0,0.0,0.0,b
Pistaches coques grillées sans sel,2618.2,6.1,54.0,9.2,22.0,0.009,0.0036,7.4,11.0,,,,,,,,,0.0,0.0,a
Pommes rissolées,500.0,0.5,3.0,0.3,2.5,0.13,0.052,1.6,22.0,,,,,,,,4.0,0.0,0.0,a
Bacon fumé,553.0,1.4,4.3,1.7,22.0,2.5,1.0,,1.4,,,,,,,,4.0,3.0,0.0,d
Fromage frais 20 % Mat. Gr.,314.0,4.3,3.2,2.1,7.2,0.1,0.04,0.0,4.3,,,,,0.12,,,3.0,0.0,0.0,b
Lindt Schokolade Goldhase,2272.0,54.0,32.0,19.0,7.2,0.32,0.059,,56.0,,,,,,,,4.0,1.0,0.0,e
